title,company,location,URL
Product Manager,King.com,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=d84147f3ca1237a5&fccid=cadcae9e8089792b&vjs=3
Product / Business Performance Manager,King.com,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=f65e01c803a8b2cb&fccid=cadcae9e8089792b&vjs=3
DevOps Engineer,Adevinta,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=2cb89aebd227147f&fccid=5aecff49966a6ffd&vjs=3
Principal/Senior Product Manager - Fulfilment (m/f/d),FREE NOW,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=4bd669324155f462&fccid=07b8d34e6d6b631d&vjs=3
Data scientist (Barcelona),Krashlando,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=6f0b04cb9f2a5187&fccid=5e88048acc92e2e1&vjs=3
Data Science Graduate Program,Bertelsmann SE &amp; Co. KGaA - Corporate Center,España,https://es.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BA3NfIPQdeFiObJux3KA6mAEJHKASivkOLnZGLQNtuedDpcRx3uB3o8D6odEEWhkEr8JLY-pSQR_1AEpO83vBKTqNqj_dF-Kc1jq2MNVgMVoi4JA8NWhTRrD-ddrdzESZRPY2eumnHh7sdNVNvMYJkPk2bXDgtyC7p65jEUDamlgzD0Qcm5goPXtHzEmhWNzuwpcNHcitMzHVYv4F2J-q04MRpARcb9CyRnOZPY2hwSTrM1Dhbbo6qfekow0UaRnAjFlCQ78Axfv9AlzfnEmzTDBYTTjYKYk0iD15JJwKR0TsMBiNx89WidB5nDRtHVHqzPVkLA1sgm8UMwE7dJFOqm9KYT0OYEv5_TRQ7n3jyCwwEGjw5yZOSc8pzPtbqWux6qa2VQxQTaIYShmWOOU9m0Pr-bak5jvV6zVamP-lMik595sRcULIe9Mo84BtWjE-KHQhqJEI7fhOHPpSH5bVg_eWu2r1kyL9aJ7qGnMiQYQ==&p=10&fvj=0&vjs=3
Demand Planning data scientist,Essity,"Barcelona, Barcelona provincia",https://es.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADeQntpmtUMXxyoh-Qt_3imdmypB23asUa0gM9HHSZqE6xeF0-5k3xfNwS9P1-smviOovZwVIbKI8Lo9HhgGW7Nn1ZBUKV30hxRxOnTIlNbHh30Nzkm5cZmvGPq2W_rW8CO_dXReZPYUbY9qslwrv4QHZLUuWG2OvMRGeMBZIAckxVX7u0eytMNaI_CCcSd188mk0OVOATg9fqatWzTbv4GQD6jaNH4ETjJNkeNcOm1y6R9nBu1u9cN_ePfy3VcFPHAYFlP2lwwB2lWlNnwvZgiqMW1zlFBGHSROMyL1OcRj-XwEIqklOeN1UCUB8HYVQ9Ik12yEYdgEF-6E1T9ox-aA0dgOJ85aNdAhra_PFTitIlSGZj2U-mhuy4UtlbMSaby1zhZN6HeEEnFOznbmzSANWAhdWuyfeygGohd7SopEef-xgAoYd5XCVDRoiPwmQ6crvpTby6LBzdfC2LI-QNazG_f1Hfsw4ZTHBguIGRd2ns0ALBnrA7STKoM6iVJ2YTu5TMrmDLsMpBkNN-OGCN&p=11&fvj=0&vjs=3
Data Quality Analyst in Salzburg,Red Bull,España,https://es.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CIPDEU_x6AGOgRFDt8pM7SMuLWX57uHXvOgUF4Ty5eIA8izWm2ylNgEfZCecYI0Xup4uWhYt5MsHhpTSfgFMbJuoV2xxgh0nc0Rx-s0PQYd0JuS2kMJpJMKs0nEimy5Wg2qs6seYg6F7JYjiZ3d7uSXPWfGbqSu-S_-X2r7J3ZubFwND9aWy_eVyX9d-kcSVFG5CisknHNJXqPtcViz1fo8PKYlGZWM87TWpPTYGPpUH1nH3GTA-GxP_BVheiw9SAwTagZAiJBDBCnHbqXfmrT4t3wXeM5Tjrw5rB-mp2TEylAy2ygIA-COdM9H3ml9x_96O5xR3adHtFJGy13pTK8HOeMqITM9M6YOXAM4ELqoweYFeY_Fsq0ffsMXCrpw6x7GkV_GsX5OI95prC406f1Fbbmhxz9SdjjJr7KgF6-vCSVbP6pdbmwkAon4a7WBUIsJ84Ni-cFnmcZUAGcQu6U9GtkoUQwHpWRDKToaNboh19dCBJg9s6BG6mISNKGd6I=&p=12&fvj=1&vjs=3
Medior Data Engineer,Full Orbit,"Barcelona, Barcelona provincia",https://es.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CHmRSAiKfn_6SJNYdHvOnGfi3mA1Tv1I-CchdVbcGCwWRiqOgnHORgHiYo9MDfu9SDCeJqycBKweyX91Iu-sCcec-CaRG1A3RBAj98Vk63hqUdtgcjmZ_2HN8M6iChOxSkTLw7tv8toPCp2sm_dmpMK9PiGhUwm8mtI9oF7mUdFiViADPSSqvwxI1mVwj1Az_x2unBbM1_53pA265cUZw_Gh--fuIown1yTNyxFzTTeW5AC1athPaiLmmLN2CvgqzT0_0466As9oP8lV5iO_U_bfREQzX-UjTpRHFiCvUmzS3SI5SSygRqizkKjIX_D9xLVIaKPEdAd3x8lQ4mLOjuQDHsziMGsrv3eEOl8f57O9ywQvlrHWWzJaPyPvFoSjEeWjIpoHvsInYZoixkbTE9ol1OXHCcrBwlKHM29oKsIRBAfmDbixMJe_Ik7WZ7B1hDUEzkIHME33mb6rXZvk7r&p=13&fvj=1&vjs=3
Senior Machine Learning Scientist,Amazon EU SARL (Spain Branch),"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=3bb59ee8dff2d373&fccid=fe2d21eef233e94a&vjs=3
